time,sst_anomaly
2010-02-15,0.20315732
2010-03-15,0.18642892
2010-04-15,0.18956628
2010-05-15,0.14289242
2010-06-15,0.11894016
2010-07-15,0.090127595
2010-08-15,0.090223685
2010-09-15,0.066428125
2010-10-15,-0.0012289754
2010-11-15,-0.019544723
2010-12-15,-0.018647868
2011-01-15,-0.008479668
2011-02-15,0.020262072
2011-03-15,0.03061446
2011-04-15,0.035232436
2011-05-15,0.029261695
2011-06-15,0.017307367
2011-07-15,0.017082056
2011-08-15,0.023675708
2011-09-15,-0.0069038454
2011-10-15,-0.013112022
2011-11-15,-0.023277594
2011-12-15,-0.078449294
2012-01-15,-0.039371356
2012-02-15,-0.0019228094
2012-03-15,-0.021116314
2012-04-15,0.018837875
2012-05-15,0.04636177
2012-06-15,0.03797165
2012-07-15,0.08741102
2012-08-15,0.13110663
2012-09-15,0.13167827
2012-10-15,0.12634464
2012-11-15,0.1411182
2012-12-15,0.12589215
2013-01-15,0.08081103
2013-02-15,0.09806739
2013-03-15,0.09659146
2013-04-15,0.0961007
2013-05-15,0.060479917
2013-06-15,0.027671924
2013-07-15,0.100936845
2013-08-15,0.13441606
2013-09-15,0.13874339
2013-10-15,0.10076781
2013-11-15,0.117694765
2013-12-15,0.094663434
2014-01-15,0.12095527
2014-02-15,0.10315101
2014-03-15,0.11246538
2014-04-15,0.1534924
2014-05-15,0.18230528
2014-06-15,0.18302312
2014-07-15,0.1641815
2014-08-15,0.22167513
2014-09-15,0.24285537
2014-10-15,0.20215367
2014-11-15,0.1708595
2014-12-15,0.15735994
2015-01-15,0.14157316
2015-02-15,0.1392746
2015-03-15,0.16082488
2015-04-15,0.21962366
2015-05-15,0.21982054
2015-06-15,0.2202919
2015-07-15,0.2371582
2015-08-15,0.2913279
2015-09-15,0.34460363
2015-10-15,0.34694263
2015-11-15,0.377684
2015-12-15,0.3993822
2016-01-15,0.42845204
2016-02-15,0.33150548
2016-03-15,0.3698052
2016-04-15,0.35104975
2016-05-15,0.31304696
2016-06-15,0.32986638
2016-07-15,0.32003832
2016-08-15,0.30137947
2016-09-15,0.2932833
2016-10-15,0.2680651
2016-11-15,0.22614916
2016-12-15,0.24081336
2017-01-15,0.30380413
2017-02-15,0.3244909
2017-03-15,0.31747776
2017-04-15,0.30955186
2017-05-15,0.24285051
2017-06-15,0.24740843
2017-07-15,0.28806767
2017-08-15,0.27229637
2017-09-15,0.23253216
2017-10-15,0.18609723
2017-11-15,0.17649482
2017-12-15,0.12358343
2018-01-15,0.15268312
2018-02-15,0.1398846
2018-03-15,0.1679229
2018-04-15,0.1991107
2018-05-15,0.21346422
2018-06-15,0.16696848
2018-07-15,0.12654176
